id;segment;delivery_type;logistic_status;push_title;push_subtitle;email_subject;email_snippet;email_title;email_body;email_button
1;C2C;ПВЗ;Paid;Авито Доставка;Заказ в*рассрочку оформлен, ждём подтверждения от*службы доставки;Заказ в рассрочку оформлен;Ждём, когда служба доставки его подтвердит;Заказ в рассрочку оформлен;Ждём, когда служба доставки его подтвердит. Отслеживайте статус и*смотрите подробности о*заказе на*его странице.\n\nТуда*же вынесли все детали по*рассрочке, графику платежей и*погашению*— ознакомьтесь с*ними.;На страницу заказа
2;C2C;ПВЗ;Confirmed;Авито Доставка;Заказ в рассрочку подтверждён. Примерный срок доставки*— до*1*июня;Заказ в рассрочку подтверждён;Примерный срок доставки*— до*1*июня;Заказ подтверждён;Он приедет в*отделение «Почты России» / в*пункт выдачи / в*пункт Boxberry / в*пункт Авито × Exmail: Москва, улица Маршала Катукова,*17к1.\n\nПримерный срок доставки*— до*1*июня.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
3;C2C;ПВЗ;Prolonged;Авито Доставка;Срок доставки изменился. Посылка приедет до*1*июня;Срок доставки изменился;Посылка приедет до*1*июня;Срок доставки изменился;Продавцу нужно ещё немного времени, чтобы отправить заказ. Посылку привезут с*20*мая до*1*июня. Мы*напишем, когда её*можно будет забрать.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
4;C2C;ПВЗ;Performed;Авито Доставка;Заказ в*рассрочку в*пути. Примерный срок доставки*— до*20*мая;Заказ в пути;Его доставят до*20*мая;Заказ в*пути;Примерный срок доставки*— до*20*мая. Вы можете отследить посылку на*cdek.ru.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
5;C2C;ПВЗ;Provided;Авито Доставка;Заказ в*рассрочку доставили*— получите его в*пункте выдачи. Возьмите с*собой паспорт;Заказ доставили;Получите его по*паспорту;Заберите заказ до*1*июня включительно;Не*забудьте взять с собой паспорт. Адрес пункта, номер получения и*правила проверки можно узнать на*странице заказа.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
6;C2C;ПВЗ;Received_no_return / Accepted;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
7;C2C;ПВЗ;Received;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.\n\nЕсли что-то будет не*так, верните заказ до*28*ноября включительно. Главное*— сохранить изначальный вид покупки.;На страницу заказа
8;C2C;ПВЗ;Canceled;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Вы*отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
9;C2C;ПВЗ;Voided;Авито Доставка;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ;Возможно, товар закончился или возникли проблемы с доставкой. Попробуйте уточнить причину у*продавца или*подыскать похожее предложение.\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
10;C2C;ПВЗ;Unperformed;Авито Доставка;Заказ отменён: продавец не*передал посылку службе доставки. Рассрочка тоже отменилась;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ пришлось отменить: продавец его*не*отправил;Рассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
